# locus	locus identifier							
#URL	where to find known alleles for matching							
#isORF	do we expect the allele to be an in-frame ORF							
#basename	The prefix that is shared by all allele identifiers							
#DNA_version=	The locus identifier for the DNA version of this peptide							
#species	Which species we expect to find this in. Unimplemented feature to select a subset of loci							
#expected	Whether we expect to find this gene in the genome. Controls whether warnings are generated when gene is not found							
locus	URL	basename	isORF	isPeptide	DNA_version	species	expected	RequireUpdate
#MLST								
abcZ	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=abcZ	abcZ_				Nm	TRUE	TRUE
adk	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=adk	adk_				Nm	TRUE	TRUE
aroE	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=aroE	aroE_				Nm	TRUE	TRUE
fumC	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=fumC	fumC_				Nm	TRUE	TRUE
gdh	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=gdh	gdh_				Nm	TRUE	TRUE
pdhC	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=pdhC	pdhC_				Nm	TRUE	TRUE
pgm	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=pgm	pgm_				Nm	TRUE	TRUE
#Antigens								
porA	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1364	NEIS1364_	TRUE			Nm	TRUE	
porB	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2020	NEIS2020_	TRUE			Nm	TRUE	
fetA	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1963	NEIS1963_	TRUE			Nm	TRUE	
nadA	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1969	NEIS1969_	TRUE			Nm	TRUE	
NadA_pep	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NadA_peptide	NadA_peptide_		TRUE	nadA	Nm	TRUE	TRUE
nhbA	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2109	NEIS2109_	TRUE			Nm	TRUE	
NhbA_pep	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NHBA_peptide	NHBA_peptide_		TRUE	nhbA	Nm	TRUE	TRUE
fHbp	https://pubmlst.org/bigsdb?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=%27fHbp	'fHbp_	TRUE			Nm	TRUE	TRUE
NEIS0349(fHbp)	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0349	NEIS0349_	TRUE			Nm	TRUE	
FHbp_pep	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=fHbp_peptide	fHbp_peptide_		TRUE	fHbp	Nm	TRUE	TRUE
